villageId,i,age,female,income,edu,pol_index,leader,prosoc_dic,registered,clustering,edu_full,rlg,eth,LC,hh,distance,villageTxt,head
55,31305003,50,1,2,0,-0.158212715,0,0,1,0.3014705882352941,No schooling,1,1,0,313050,0.46611086999999995,E,0
55,31305101,43,0,2,0,0.101115232,1,0.4,1,0.3736263736263736,Some Primary,0,1,0,313051,0.44419562,E,1
55,31305102,38,1,2,0,0.410718305,0,0,1,0.2857142857142857,Some Primary,0,1,0,313051,0.43831293,E,0
55,31305201,50,1,2,0,0.705491733,1,0.3,1,0.4722222222222222,No schooling,1,1,0,313052,0.32279581,E,1
55,31305301,74,1,1,0,-0.467815788,0,0,1,0.509090909090909,No schooling,1,1,0,313053,0.5932224700000001,E,1
55,31305401,27,0,4,0,-0.16652581,0,0,1,0.32,Some Primary,1,1,0,313054,0.5956677899999999,E,1
55,31305402,20,1,3,0,-0.308951951,0,0,0,0.4545454545454546,Some Primary,1,1,0,313054,0.5985007299999999,E,0
55,31305601,24,0,3,1,-0.467815788,0,0.5,0,0.4,Some Tertiary,0,1,0,313056,0.53777277,E,0
55,31305602,54,0,1,1,-0.088456199,0,0.3,1,0.3856209150326797,Some Secondary,0,1,0,313056,0.5372204,E,1
55,31305603,60,1,4,1,-0.26698992,0,0.6,1,0.3235294117647059,Some Secondary,0,1,0,313056,0.5139250500000001,E,0
55,31305605,20,1,4,1,-0.16652581,0,0.3,0,0.6111111111111112,Some Secondary,0,1,0,313056,0.54621796,E,0
55,31305701,27,0,4,1,-0.568279898,0,0.5,1,0.4166666666666667,Some Tertiary,0,1,0,313057,0.49146947999999996,E,0
55,31305704,58,1,2,0,-0.583109543,0,0.4,1,0.23157894736842108,Some Primary,0,1,0,313057,0.52119824,E,1
55,31305705,23,1,1,0,-0.583109543,0,0,1,0.6071428571428571,Some Primary,0,1,0,313057,0.5273410599999999,E,0
55,31305706,33,1,1,0,-0.576592993,0,0.2,0,0.5714285714285714,Some Primary,0,1,0,313057,0.52268939,E,0
55,31305802,53,1,4,0,0.29542455,1,0,1,0.34285714285714286,Some Primary,1,1,0,313058,0.49412454,E,0
55,31305901,28,1,4,1,0.705491733,0,0.9,1,0.34736842105263155,Some Secondary,1,1,0,313059,0.50240604,E,1
55,31306002,26,0,4,1,-0.568279898,0,0.3,0,0.3333333333333333,Some Tertiary,0,1,0,313060,7.5090215,E,0
55,31306003,54,1,1,0,-0.583109543,1,0.2,1,0.35714285714285715,Some Primary,0,1,1,313060,0.48572821,E,1
55,31306101,25,0,3,1,-0.568279898,0,0,1,0.3717948717948718,Some Tertiary,1,1,0,313061,7.451600099999999,E,0
55,31306102,20,0,2,1,-0.467815788,0,0.3,1,0.3523809523809524,Some Secondary,1,1,0,313061,0.370987,E,0
55,31306103,52,1,4,0,-0.281819565,0,0.4,1,0.3939393939393939,No schooling,1,1,0,313061,NA,E,1
55,31306201,21,0,1,0,-0.16652581,0,0.2,1,0.18181818181818182,Some Primary,1,1,0,313062,NA,E,1
55,31306301,27,1,2,0,-0.568279898,0,0.2,1,0.4095238095238095,Some Primary,1,1,0,313063,NA,E,0
55,31306401,70,1,4,0,-0.877882971,0,0.1,0,0.6,No schooling,1,1,0,313064,NA,E,0
55,31306402,22,0,1,0,-0.467815788,0,0.2,1,0.4727272727272728,Some Primary,1,1,0,313064,NA,E,0
55,31306403,38,1,2,0,0.221146874,0,0.4,1,0.33986928104575165,Some Primary,1,1,0,313064,NA,E,1
55,31306501,54,1,1,0,-0.16652581,1,0.1,0,0.4444444444444444,Some Primary,1,1,0,313065,0.32500754,E,0
55,31306502,65,0,4,1,-0.27350647,0,0.1,0,0.17804878048780487,Some Secondary,1,1,0,313065,0.31188007,E,1
55,31306601,24,0,2,0,-0.16652581,0,0.4,1,0.3,Some Primary,1,1,0,313066,0.33176318,E,1
55,31306602,24,1,3,0,-0.576592993,1,0.2,1,0.4222222222222222,Some Primary,1,1,1,313066,0.34329788,E,0
55,31306701,27,1,1,1,-0.576592993,0,0.5,0,0.3333333333333333,Some Secondary,0,1,0,313067,NA,E,1
55,31306801,47,0,4,1,-0.576592993,0,0.2,1,0.38181818181818183,Some Tertiary,0,1,0,313068,NA,E,1
55,31306802,40,1,2,1,-0.568279898,0,0,1,0.25757575757575757,Some Tertiary,0,1,0,313068,NA,E,0
55,31306901,43,1,2,1,-0.576592993,0,0.1,0,0.4,Some Tertiary,0,1,0,313069,0.20703427,E,1
55,31307001,25,1,4,1,0.143077263,0,0,0,0.3055555555555556,Some Tertiary,0,1,0,313070,0.8816776700000001,E,0
55,31307002,50,0,4,1,1.494918505,1,0.3,1,0.1317135549872123,Some Tertiary,1,1,0,313070,0.18784509,E,0
55,31307003,44,1,4,1,0.143077263,0,0,0,0.34210526315789475,Some Tertiary,0,1,0,313070,0.1876026,E,1
55,31307102,43,0,2,0,-0.281819565,1,0.2,1,0.29473684210526313,Some Primary,1,1,1,313071,0.35830551000000005,E,1
55,31307103,38,1,4,0,0.39588866,1,0,0,0.2549019607843137,Some Primary,1,1,0,313071,0.38721158,E,0
55,31307201,36,1,1,0,-0.16652581,0,0.4,0,0.35714285714285715,No schooling,1,1,0,313072,0.36295959,E,1
55,31307302,36,1,3,1,-0.088456199,0,0,1,0.4666666666666667,Some Tertiary,0,1,0,313073,0.21020433,E,1
55,31307401,48,0,4,1,0.410718305,0,0,1,0.33333333333333337,Some Tertiary,0,1,0,313074,0.68772351,E,0
